,RMSE,R2
XGBoost,43.30351990912028,0.8545466758426186
LightGBM,43.796262576185086,0.8512176704948772
Linear Regression,43.834603982177185,0.8509570537036327
Lasso Regression,43.83727836630899,0.8509388666909207
